id,name,age,specialty,years_of_experience,salary
8022,Michael Brown8022,64,General Surgery,18,123632
8023,David Wilson8023,46,Dermatology,32,166191
8024,David Wilson8024,54,General Surgery,38,86287
8025,Laura Martinez8025,27,Orthopedics,20,116703
8026,Michael Brown8026,49,Ophthalmology,35,136335
8027,Robert Lee8027,35,Orthopedics,8,114711
8028,Sarah Davis8028,44,Orthopedics,39,103730
8029,Laura Martinez8029,63,Dermatology,21,84928
8030,James Anderson8030,37,General Surgery,32,197253
8031,Laura Martinez8031,55,Pediatrics,26,92738
8032,Laura Martinez8032,32,Cardiology,39,153238
8033,Michael Brown8033,51,Neurology,8,190865
8034,Robert Lee8034,65,Cardiology,13,120936
8035,Sarah Davis8035,44,Orthopedics,3,195873
8036,John Doe8036,33,Cardiology,14,132464
8037,Michael Brown8037,45,Ophthalmology,16,104348
8038,Jane Smith8038,62,Cardiology,28,164047
8039,Emily Johnson8039,64,Orthopedics,14,138723
8040,Patricia Taylor8040,38,Dermatology,39,158381
8041,Emily Johnson8041,27,Ophthalmology,14,177916
8042,Laura Martinez8042,25,Pediatrics,27,141750
8043,Robert Lee8043,57,Neurology,40,84107
8044,Emily Johnson8044,65,Neurology,8,168911
8045,James Anderson8045,57,General Surgery,22,94248
8046,Laura Martinez8046,34,Orthopedics,8,100817
8047,Jane Smith8047,60,Pediatrics,38,141729
8048,Emily Johnson8048,45,Dermatology,19,112760
8049,Sarah Davis8049,32,Pediatrics,17,170966
8050,Laura Martinez8050,40,Neurology,20,108220
8051,Laura Martinez8051,50,Cardiology,9,111216
8052,Robert Lee8052,53,General Surgery,38,142174
8053,Michael Brown8053,27,General Surgery,23,110535
8054,David Wilson8054,32,Neurology,3,119849
8055,Emily Johnson8055,47,Neurology,21,136946
8056,Laura Martinez8056,32,General Surgery,36,188189
8057,Emily Johnson8057,53,Ophthalmology,29,176667
8058,Patricia Taylor8058,61,Neurology,17,109206
8059,James Anderson8059,56,Ophthalmology,34,173330
8060,Laura Martinez8060,60,Ophthalmology,37,133781
8061,Sarah Davis8061,30,Dermatology,35,183700
8062,Michael Brown8062,56,Ophthalmology,28,92002
8063,Jane Smith8063,51,Cardiology,36,96110
8064,Jane Smith8064,44,Dermatology,13,107701
8065,Sarah Davis8065,60,General Surgery,19,191619
8066,Patricia Taylor8066,30,Dermatology,37,110714
8067,Sarah Davis8067,55,Ophthalmology,22,138083
8068,Patricia Taylor8068,50,Cardiology,30,122254
8069,John Doe8069,43,General Surgery,24,98027
8070,David Wilson8070,44,Ophthalmology,3,124891
8071,John Doe8071,26,Cardiology,39,191284
8072,John Doe8072,50,Orthopedics,36,94858
8073,Michael Brown8073,44,Ophthalmology,16,102996
8074,Sarah Davis8074,50,Pediatrics,10,160885
8075,James Anderson8075,59,Pediatrics,27,179840
8076,David Wilson8076,40,Dermatology,22,110194
8077,Emily Johnson8077,48,General Surgery,4,96924
8078,Jane Smith8078,63,Pediatrics,7,199232
8079,Emily Johnson8079,55,Neurology,35,191965
8080,John Doe8080,51,Dermatology,7,134009
8081,David Wilson8081,33,Orthopedics,27,158302
8082,John Doe8082,33,Cardiology,26,118981
8083,John Doe8083,29,Dermatology,31,136997
8084,James Anderson8084,37,Dermatology,33,113449
8085,Sarah Davis8085,52,Dermatology,39,133661
8086,James Anderson8086,60,Pediatrics,31,135059
8087,Jane Smith8087,32,Cardiology,25,102851
8088,Laura Martinez8088,25,Orthopedics,2,152337
8089,Emily Johnson8089,64,Cardiology,22,180439
8090,David Wilson8090,45,Neurology,36,94564
8091,Sarah Davis8091,48,Cardiology,1,133055
8092,Michael Brown8092,55,General Surgery,3,125459
8093,Patricia Taylor8093,30,Orthopedics,21,161720
8094,John Doe8094,50,Orthopedics,2,108522
8095,James Anderson8095,25,Dermatology,32,131162
8096,Patricia Taylor8096,50,Dermatology,5,169003
8097,John Doe8097,40,Orthopedics,40,131294
8098,James Anderson8098,32,Dermatology,18,192283
8099,David Wilson8099,54,General Surgery,6,101751
8100,Michael Brown8100,26,Dermatology,29,89069
8101,John Doe8101,27,Orthopedics,7,197171
8102,Laura Martinez8102,34,Dermatology,38,123055
8103,David Wilson8103,62,Ophthalmology,34,169398
8104,Laura Martinez8104,25,Dermatology,24,124704
8105,Michael Brown8105,63,Orthopedics,5,135182
8106,James Anderson8106,48,Ophthalmology,28,171199
8107,Patricia Taylor8107,27,Ophthalmology,15,146774
8108,David Wilson8108,41,Orthopedics,25,87317
8109,Jane Smith8109,52,Orthopedics,6,119701
8110,Patricia Taylor8110,54,Orthopedics,10,160090
8111,Patricia Taylor8111,44,Ophthalmology,35,88564
8112,Patricia Taylor8112,31,Ophthalmology,32,114757
8113,Sarah Davis8113,60,Pediatrics,7,108900
8114,David Wilson8114,50,Pediatrics,31,88509
8115,Patricia Taylor8115,26,Neurology,17,89760
8116,David Wilson8116,56,Neurology,15,134750
8117,Robert Lee8117,26,Ophthalmology,3,168990
8118,Robert Lee8118,40,Orthopedics,11,142960
8119,Robert Lee8119,64,Neurology,25,106574
8120,Jane Smith8120,31,Neurology,7,109143
8121,Robert Lee8121,48,Cardiology,26,167861
8122,Michael Brown8122,32,Dermatology,18,125001
8123,Sarah Davis8123,51,Ophthalmology,26,189563
8124,Laura Martinez8124,45,Dermatology,12,159269
8125,Jane Smith8125,65,Ophthalmology,5,180686
8126,Sarah Davis8126,27,Cardiology,28,121576
8127,James Anderson8127,58,General Surgery,22,158231
8128,John Doe8128,48,Orthopedics,1,180219
8129,Laura Martinez8129,40,Orthopedics,37,163887
8130,Michael Brown8130,58,Cardiology,32,129753
8131,Laura Martinez8131,49,Orthopedics,10,183325
8132,John Doe8132,46,Cardiology,9,114930
8133,Michael Brown8133,29,Neurology,28,102433
8134,Laura Martinez8134,37,Dermatology,10,102445
8135,Patricia Taylor8135,44,General Surgery,36,92714
8136,Laura Martinez8136,56,Neurology,27,107755
8137,Jane Smith8137,45,Ophthalmology,14,157021
8138,David Wilson8138,40,General Surgery,4,143821
8139,Jane Smith8139,26,Dermatology,21,190924
8140,David Wilson8140,30,Neurology,28,147989
8141,David Wilson8141,25,Cardiology,23,133901
8142,Jane Smith8142,54,Dermatology,23,126110
8143,Robert Lee8143,41,Pediatrics,35,139175
8144,John Doe8144,51,Neurology,16,198708
8145,Jane Smith8145,45,Orthopedics,27,162528
8146,Laura Martinez8146,45,Orthopedics,33,139966
8147,Emily Johnson8147,46,General Surgery,10,94681
8148,Robert Lee8148,37,General Surgery,18,134508
8149,Robert Lee8149,30,Orthopedics,12,106894
8150,Laura Martinez8150,62,Ophthalmology,14,125051
8151,Sarah Davis8151,62,General Surgery,37,115008
8152,Jane Smith8152,43,Neurology,20,119874
8153,Laura Martinez8153,45,Ophthalmology,31,163518
8154,James Anderson8154,35,General Surgery,36,186392
8155,Emily Johnson8155,53,Neurology,36,145434
8156,Robert Lee8156,46,Pediatrics,18,122642
8157,David Wilson8157,58,Orthopedics,1,155129
8158,Jane Smith8158,40,Neurology,20,125841
8159,Patricia Taylor8159,39,Ophthalmology,3,116592
8160,Laura Martinez8160,41,Dermatology,25,92165
8161,John Doe8161,62,Pediatrics,29,130388
8162,Patricia Taylor8162,33,Dermatology,14,134852
8163,Sarah Davis8163,54,Ophthalmology,26,115845
8164,Michael Brown8164,48,Cardiology,27,81105
8165,James Anderson8165,59,Ophthalmology,39,140934
8166,John Doe8166,52,General Surgery,7,161325
8167,Jane Smith8167,42,Ophthalmology,26,158921
8168,Emily Johnson8168,34,Pediatrics,16,87573
8169,David Wilson8169,57,General Surgery,27,151644
8170,Patricia Taylor8170,26,Cardiology,1,124616
8171,Sarah Davis8171,42,Dermatology,30,118772
8172,Emily Johnson8172,40,Ophthalmology,38,86116
8173,James Anderson8173,45,Neurology,2,144619
8174,Robert Lee8174,60,Ophthalmology,29,106510
8175,Laura Martinez8175,30,Pediatrics,27,196052
8176,James Anderson8176,65,General Surgery,14,197893
8177,John Doe8177,49,General Surgery,35,181527
8178,Patricia Taylor8178,43,Cardiology,34,101677
8179,Michael Brown8179,31,Ophthalmology,5,116356
8180,Patricia Taylor8180,25,Orthopedics,15,146672
8181,David Wilson8181,31,Cardiology,17,87779
8182,Robert Lee8182,65,Dermatology,13,185510
8183,Robert Lee8183,44,General Surgery,26,98140
8184,David Wilson8184,27,Dermatology,33,140998
8185,Michael Brown8185,63,Orthopedics,12,91971
8186,David Wilson8186,32,Orthopedics,11,197123
8187,John Doe8187,50,Pediatrics,16,114552
8188,Emily Johnson8188,51,Orthopedics,37,176701
8189,Laura Martinez8189,26,Pediatrics,28,112534
8190,Emily Johnson8190,53,General Surgery,20,95177
8191,James Anderson8191,31,Pediatrics,32,135587
8192,David Wilson8192,45,Neurology,24,153067
8193,Patricia Taylor8193,53,Ophthalmology,8,128964
8194,David Wilson8194,32,General Surgery,9,145167
8195,Michael Brown8195,52,Neurology,25,173228
8196,Robert Lee8196,26,Ophthalmology,10,172598
8197,Patricia Taylor8197,26,Dermatology,26,110636
8198,Patricia Taylor8198,32,Orthopedics,9,167438
8199,John Doe8199,43,Pediatrics,1,86284
8200,David Wilson8200,27,Neurology,30,94050
8201,John Doe8201,31,Orthopedics,26,184069
8202,Robert Lee8202,59,Dermatology,15,98898
8203,Patricia Taylor8203,29,Pediatrics,2,80848
8204,David Wilson8204,47,Orthopedics,39,127103
8205,Emily Johnson8205,37,Orthopedics,18,88624
8206,Jane Smith8206,34,Dermatology,28,142124
8207,Laura Martinez8207,52,Dermatology,9,152072
8208,Michael Brown8208,55,Orthopedics,17,182466
8209,Robert Lee8209,31,Pediatrics,33,179416
8210,Sarah Davis8210,56,Orthopedics,30,182720
8211,John Doe8211,44,Orthopedics,8,170559
8212,James Anderson8212,40,Orthopedics,6,147393
8213,James Anderson8213,32,Pediatrics,33,84836
8214,James Anderson8214,65,Pediatrics,22,85225
8215,Laura Martinez8215,64,General Surgery,21,107668
8216,Robert Lee8216,32,Dermatology,37,110678
8217,John Doe8217,29,Cardiology,25,80905
8218,Laura Martinez8218,49,General Surgery,10,109802
8219,Sarah Davis8219,65,Cardiology,12,187618
8220,Sarah Davis8220,39,Ophthalmology,8,154940
8221,Patricia Taylor8221,38,General Surgery,36,192984
8222,John Doe8222,60,Dermatology,37,99917
8223,James Anderson8223,36,Pediatrics,17,141762
8224,Laura Martinez8224,25,General Surgery,10,147784
8225,Emily Johnson8225,42,General Surgery,11,180809
8226,Patricia Taylor8226,54,General Surgery,25,146650
8227,Patricia Taylor8227,39,Neurology,2,134906
8228,Emily Johnson8228,46,Orthopedics,30,182576
8229,Patricia Taylor8229,27,Cardiology,1,88090
8230,James Anderson8230,61,Neurology,23,96796
8231,Sarah Davis8231,29,Cardiology,15,128019
8232,Patricia Taylor8232,56,Cardiology,11,140382
8233,Patricia Taylor8233,32,Ophthalmology,20,151114
8234,Jane Smith8234,47,Neurology,35,108948
8235,Jane Smith8235,46,Neurology,35,194700
8236,Sarah Davis8236,38,Orthopedics,34,130615
8237,David Wilson8237,56,Ophthalmology,35,94727
8238,Sarah Davis8238,62,General Surgery,26,146211
8239,Emily Johnson8239,25,Cardiology,16,108668
8240,Patricia Taylor8240,60,Pediatrics,25,189530
8241,Sarah Davis8241,29,Cardiology,29,195106
8242,Robert Lee8242,65,Ophthalmology,15,185416
8243,Michael Brown8243,48,Cardiology,17,180152
8244,Emily Johnson8244,40,Neurology,30,106229
8245,Patricia Taylor8245,30,Orthopedics,39,96528
8246,Emily Johnson8246,59,Ophthalmology,3,184768
8247,James Anderson8247,59,Dermatology,40,168550
8248,John Doe8248,47,Ophthalmology,11,172859
8249,John Doe8249,42,Ophthalmology,36,145605
8250,James Anderson8250,26,General Surgery,10,141799
8251,Laura Martinez8251,61,Neurology,4,163281
8252,Sarah Davis8252,42,Cardiology,6,84501
8253,Robert Lee8253,47,Neurology,27,105634
8254,James Anderson8254,54,Pediatrics,28,87631
8255,Laura Martinez8255,36,Cardiology,25,151623
8256,Michael Brown8256,37,Dermatology,29,105481
8257,John Doe8257,65,Orthopedics,3,165394
8258,Jane Smith8258,31,Orthopedics,8,122294
8259,Sarah Davis8259,60,General Surgery,19,107046
8260,Michael Brown8260,37,Orthopedics,25,122054
8261,Michael Brown8261,64,Dermatology,3,81591
8262,Laura Martinez8262,43,Pediatrics,5,93802
8263,Sarah Davis8263,38,Cardiology,21,182280
8264,John Doe8264,26,Ophthalmology,35,193788
8265,John Doe8265,59,General Surgery,18,123309
8266,David Wilson8266,30,Cardiology,6,123777
8267,Sarah Davis8267,29,Pediatrics,23,172354
8268,Jane Smith8268,54,Dermatology,15,163853
8269,David Wilson8269,53,Cardiology,15,87648
8270,Patricia Taylor8270,40,Orthopedics,36,117766
8271,Sarah Davis8271,42,Cardiology,9,133842
8272,Michael Brown8272,52,Cardiology,38,131373
8273,Patricia Taylor8273,51,Ophthalmology,1,137059
8274,David Wilson8274,45,Dermatology,8,117563
8275,Laura Martinez8275,59,Ophthalmology,16,136060
8276,Robert Lee8276,27,General Surgery,28,140108
8277,Sarah Davis8277,37,Cardiology,20,147615
8278,Sarah Davis8278,65,Dermatology,29,135147
8279,Robert Lee8279,37,Neurology,39,133147
8280,Emily Johnson8280,53,Ophthalmology,1,112093
8281,John Doe8281,58,General Surgery,16,107782
8282,John Doe8282,40,Orthopedics,28,153940
8283,James Anderson8283,34,Cardiology,12,134194
8284,Sarah Davis8284,51,Orthopedics,29,178419
8285,Patricia Taylor8285,40,General Surgery,39,107480
8286,Emily Johnson8286,28,Dermatology,15,110543
8287,Sarah Davis8287,35,Ophthalmology,7,184678
8288,David Wilson8288,58,Dermatology,34,158900
8289,Emily Johnson8289,45,Cardiology,35,197008
8290,Michael Brown8290,54,Neurology,34,170541
8291,James Anderson8291,40,Cardiology,24,143393
8292,Robert Lee8292,31,Pediatrics,2,140231
8293,David Wilson8293,57,Orthopedics,33,140415
8294,David Wilson8294,50,Ophthalmology,8,99931
8295,Sarah Davis8295,27,Orthopedics,30,124383
8296,Sarah Davis8296,53,Orthopedics,22,152378
8297,Emily Johnson8297,32,Ophthalmology,30,162354
8298,David Wilson8298,38,Dermatology,3,158110
8299,Jane Smith8299,64,Dermatology,6,80794
8300,David Wilson8300,56,Neurology,7,124472
8301,John Doe8301,36,Dermatology,16,148997
8302,Emily Johnson8302,25,Neurology,34,146829
8303,Jane Smith8303,55,Ophthalmology,21,155022
8304,Laura Martinez8304,34,Pediatrics,20,127794
8305,Patricia Taylor8305,41,Dermatology,15,94529
8306,Robert Lee8306,63,Pediatrics,39,84055
8307,Patricia Taylor8307,60,General Surgery,29,197983
8308,David Wilson8308,43,Cardiology,39,178967
8309,Laura Martinez8309,51,Neurology,2,172611
8310,Laura Martinez8310,60,Ophthalmology,25,87320
8311,James Anderson8311,28,Pediatrics,19,164958
8312,Jane Smith8312,42,General Surgery,11,179087
8313,Emily Johnson8313,27,Dermatology,6,191653
8314,Laura Martinez8314,63,Dermatology,1,172205
8315,Jane Smith8315,31,Neurology,30,104381
8316,Laura Martinez8316,52,Dermatology,16,149778
8317,Emily Johnson8317,45,Dermatology,40,109972
8318,Robert Lee8318,58,Neurology,27,172325
8319,Jane Smith8319,52,Neurology,40,161206
8320,Robert Lee8320,60,Cardiology,4,98947
8321,Laura Martinez8321,35,General Surgery,14,194130
8322,Emily Johnson8322,38,Pediatrics,34,175443
8323,David Wilson8323,47,Dermatology,1,186435
8324,James Anderson8324,39,Ophthalmology,20,146851
8325,Jane Smith8325,32,Orthopedics,3,120079
8326,David Wilson8326,35,Dermatology,23,140285
8327,Jane Smith8327,56,General Surgery,18,86191
8328,James Anderson8328,46,Ophthalmology,15,179901
8329,Robert Lee8329,64,Orthopedics,7,97299
8330,David Wilson8330,54,Pediatrics,20,130892
8331,Laura Martinez8331,25,Pediatrics,35,113211
8332,Laura Martinez8332,44,General Surgery,29,140228
8333,Robert Lee8333,33,General Surgery,21,192672
8334,Jane Smith8334,36,Cardiology,9,163451
8335,Patricia Taylor8335,54,Cardiology,18,126212
8336,Sarah Davis8336,32,General Surgery,26,171054
8337,John Doe8337,45,General Surgery,4,174208
8338,Laura Martinez8338,60,Pediatrics,5,194659
8339,Laura Martinez8339,54,Cardiology,23,114426
8340,Laura Martinez8340,48,Ophthalmology,12,82834
8341,Michael Brown8341,44,Neurology,1,190642
8342,Laura Martinez8342,35,Pediatrics,7,177788
8343,Robert Lee8343,40,Ophthalmology,22,83840
8344,Sarah Davis8344,30,Pediatrics,16,105679
8345,Robert Lee8345,43,Dermatology,3,157361
8346,James Anderson8346,31,Neurology,16,118660
8347,Sarah Davis8347,55,Neurology,1,116048
8348,Sarah Davis8348,25,General Surgery,27,98427
8349,Emily Johnson8349,64,Ophthalmology,23,163947
8350,Emily Johnson8350,28,Pediatrics,32,101581
8351,David Wilson8351,33,Ophthalmology,24,196403
8352,Emily Johnson8352,62,Pediatrics,18,117453
8353,Sarah Davis8353,59,Pediatrics,14,141420
8354,Michael Brown8354,39,Cardiology,9,135312
8355,Jane Smith8355,47,Neurology,35,177502
8356,Robert Lee8356,25,General Surgery,34,194470
8357,John Doe8357,46,Pediatrics,13,162522
8358,Robert Lee8358,43,Pediatrics,4,123876
8359,Emily Johnson8359,35,Pediatrics,14,91812
8360,Emily Johnson8360,26,Dermatology,3,185363
8361,John Doe8361,43,General Surgery,15,117475
8362,Laura Martinez8362,46,Cardiology,34,164225
8363,James Anderson8363,42,Neurology,7,159711
8364,Laura Martinez8364,35,Orthopedics,38,121813
8365,David Wilson8365,65,Ophthalmology,28,138317
8366,John Doe8366,46,Pediatrics,24,199603
8367,Laura Martinez8367,56,Dermatology,25,150482
8368,James Anderson8368,39,Ophthalmology,38,118319
8369,John Doe8369,39,Cardiology,23,80318
8370,Laura Martinez8370,28,Dermatology,1,164702
8371,David Wilson8371,49,Cardiology,4,185907
8372,Emily Johnson8372,63,Dermatology,31,145454
8373,David Wilson8373,25,Pediatrics,17,183963
8374,Michael Brown8374,29,Neurology,19,162730
8375,Emily Johnson8375,37,Neurology,27,163220
8376,Laura Martinez8376,56,Neurology,40,85185
8377,Robert Lee8377,54,Dermatology,38,137626
8378,Patricia Taylor8378,33,Cardiology,35,159883
8379,John Doe8379,40,Orthopedics,26,153588
8380,Jane Smith8380,53,Cardiology,13,81360
8381,Emily Johnson8381,56,Orthopedics,35,159903
8382,Laura Martinez8382,42,Orthopedics,15,125191
8383,James Anderson8383,45,Neurology,25,197412
8384,James Anderson8384,25,Pediatrics,16,169253
8385,Patricia Taylor8385,39,General Surgery,7,154939
8386,John Doe8386,27,Cardiology,6,122147
8387,James Anderson8387,49,Orthopedics,31,116004
8388,Patricia Taylor8388,61,Cardiology,18,173941
8389,Sarah Davis8389,59,Dermatology,7,124627
8390,Robert Lee8390,35,Pediatrics,12,155832
8391,David Wilson8391,64,Orthopedics,30,111840
8392,Jane Smith8392,55,Orthopedics,24,102365
8393,Laura Martinez8393,52,Cardiology,23,199168
8394,Emily Johnson8394,55,Ophthalmology,5,157379
8395,Laura Martinez8395,61,Ophthalmology,38,103991
8396,Patricia Taylor8396,50,Dermatology,24,153577
8397,David Wilson8397,65,Cardiology,40,185408
8398,James Anderson8398,61,General Surgery,5,85180
8399,Emily Johnson8399,31,General Surgery,11,113453
8400,Robert Lee8400,46,Dermatology,20,99659
8401,Robert Lee8401,52,Orthopedics,17,144435
8402,Emily Johnson8402,28,Pediatrics,12,107632
8403,Sarah Davis8403,25,General Surgery,16,184529
8404,Robert Lee8404,46,Orthopedics,7,116230
8405,David Wilson8405,30,General Surgery,15,85641
8406,Patricia Taylor8406,47,General Surgery,16,102088
8407,Jane Smith8407,35,Neurology,11,164595
8408,Michael Brown8408,30,Dermatology,2,185261
8409,John Doe8409,63,Dermatology,23,101678
8410,Michael Brown8410,37,Orthopedics,4,86648
8411,James Anderson8411,59,Orthopedics,5,151766
8412,Sarah Davis8412,65,Orthopedics,9,176089
8413,James Anderson8413,45,Orthopedics,23,134135
8414,Laura Martinez8414,53,Orthopedics,26,135556
8415,Patricia Taylor8415,63,Neurology,5,167514
8416,Emily Johnson8416,58,Cardiology,28,139325
8417,David Wilson8417,29,General Surgery,31,81335
8418,Sarah Davis8418,50,Ophthalmology,38,175386
8419,James Anderson8419,54,Cardiology,4,186035
8420,Jane Smith8420,37,General Surgery,15,107269
8421,Robert Lee8421,63,Ophthalmology,12,98430
8422,Robert Lee8422,65,General Surgery,36,106471
8423,Michael Brown8423,33,Ophthalmology,14,101069
8424,John Doe8424,38,Orthopedics,21,83761
8425,Emily Johnson8425,47,Neurology,33,137954
8426,Jane Smith8426,26,General Surgery,24,93325
8427,Laura Martinez8427,27,Ophthalmology,23,185946
8428,Sarah Davis8428,33,Pediatrics,8,199844
8429,Emily Johnson8429,33,Neurology,35,104085
8430,Jane Smith8430,39,Cardiology,1,179912
8431,Jane Smith8431,59,Cardiology,4,103245
8432,James Anderson8432,65,Pediatrics,7,197332
8433,Sarah Davis8433,57,Orthopedics,27,105958
8434,Michael Brown8434,25,Ophthalmology,33,102532
8435,Emily Johnson8435,26,General Surgery,39,154264
8436,James Anderson8436,39,Dermatology,8,111239
8437,James Anderson8437,38,Neurology,6,100074
8438,David Wilson8438,43,General Surgery,20,80625
8439,Emily Johnson8439,39,Ophthalmology,33,146269
8440,Patricia Taylor8440,29,Dermatology,3,126727
8441,James Anderson8441,35,Cardiology,29,173094
8442,Laura Martinez8442,37,Neurology,21,193513
8443,John Doe8443,44,Pediatrics,26,163906
8444,Sarah Davis8444,38,Cardiology,38,153847
8445,Jane Smith8445,35,Orthopedics,10,84022
8446,David Wilson8446,31,Pediatrics,19,131881
8447,Michael Brown8447,34,Ophthalmology,28,129881
8448,David Wilson8448,32,Dermatology,17,144733
8449,Laura Martinez8449,26,Ophthalmology,10,179091
8450,James Anderson8450,28,Dermatology,35,192310
8451,Michael Brown8451,62,Cardiology,12,148457
8452,Emily Johnson8452,43,Dermatology,17,156987
8453,David Wilson8453,49,Orthopedics,33,132874
8454,Patricia Taylor8454,47,Ophthalmology,30,84501
8455,Emily Johnson8455,26,General Surgery,18,156428
8456,Patricia Taylor8456,54,Orthopedics,20,135513
8457,David Wilson8457,62,Ophthalmology,34,196486
8458,Sarah Davis8458,32,General Surgery,4,177439
8459,Emily Johnson8459,36,General Surgery,35,170797
8460,James Anderson8460,48,General Surgery,18,97193
8461,John Doe8461,61,Orthopedics,34,94736
8462,James Anderson8462,40,Ophthalmology,9,139749
8463,Emily Johnson8463,50,Neurology,24,103282
8464,Michael Brown8464,41,Ophthalmology,13,192703
8465,Sarah Davis8465,50,Neurology,36,167308
8466,David Wilson8466,62,Dermatology,1,151583
8467,John Doe8467,29,General Surgery,4,138738
8468,Patricia Taylor8468,50,Neurology,11,143795
8469,David Wilson8469,38,Ophthalmology,11,156091
8470,Emily Johnson8470,35,Cardiology,8,155934
8471,John Doe8471,30,General Surgery,25,196983
8472,Robert Lee8472,34,Neurology,38,109330
8473,David Wilson8473,33,General Surgery,4,108416
8474,David Wilson8474,52,Pediatrics,25,146587
8475,Laura Martinez8475,63,Neurology,11,169957
8476,Sarah Davis8476,54,Pediatrics,8,188551
8477,Emily Johnson8477,35,Ophthalmology,30,138944
8478,David Wilson8478,29,Dermatology,15,193169
8479,Sarah Davis8479,53,Cardiology,20,91753
8480,Robert Lee8480,30,Orthopedics,34,158056
8481,Laura Martinez8481,52,Neurology,38,183383
8482,Laura Martinez8482,36,Dermatology,37,142950
8483,Sarah Davis8483,57,Pediatrics,35,140110
8484,Michael Brown8484,42,Neurology,30,158521
8485,Sarah Davis8485,37,General Surgery,18,125169
8486,Emily Johnson8486,41,Pediatrics,17,85822
8487,Patricia Taylor8487,49,Ophthalmology,13,118210
8488,Emily Johnson8488,48,Ophthalmology,25,107299
8489,John Doe8489,51,General Surgery,33,166905
8490,Emily Johnson8490,65,General Surgery,2,94998
8491,James Anderson8491,48,General Surgery,16,174659
8492,David Wilson8492,33,Cardiology,24,150197
8493,James Anderson8493,42,Ophthalmology,20,140400
8494,John Doe8494,29,General Surgery,1,149588
8495,Michael Brown8495,47,Pediatrics,30,178848
8496,Patricia Taylor8496,32,Ophthalmology,31,80111
8497,Jane Smith8497,59,Dermatology,9,127764
8498,Laura Martinez8498,53,Dermatology,11,160409
8499,David Wilson8499,60,Dermatology,6,137822
8500,Laura Martinez8500,28,Orthopedics,1,154268
8501,Sarah Davis8501,40,Pediatrics,34,199420
8502,Emily Johnson8502,52,Pediatrics,31,159052
8503,David Wilson8503,57,General Surgery,24,123868
8504,Emily Johnson8504,33,General Surgery,33,157676
8505,Emily Johnson8505,46,Cardiology,27,82164
8506,Jane Smith8506,34,Pediatrics,30,162624
8507,James Anderson8507,63,Orthopedics,33,180342
8508,Patricia Taylor8508,38,Pediatrics,11,110189
8509,David Wilson8509,52,Dermatology,23,189933
8510,David Wilson8510,46,Dermatology,5,86307
8511,John Doe8511,42,Orthopedics,38,151601
8512,Patricia Taylor8512,59,Ophthalmology,7,102318
8513,Jane Smith8513,61,Dermatology,34,137861
8514,Laura Martinez8514,28,Cardiology,37,182981
8515,Robert Lee8515,27,General Surgery,39,159181
8516,Emily Johnson8516,55,Pediatrics,2,138908
8517,Laura Martinez8517,50,General Surgery,12,111356
8518,John Doe8518,65,Cardiology,36,184635
8519,Laura Martinez8519,57,General Surgery,18,199460
8520,James Anderson8520,28,Pediatrics,13,172519
8521,Laura Martinez8521,39,Cardiology,20,80988
8522,David Wilson8522,45,Orthopedics,33,138753
8523,Robert Lee8523,65,Dermatology,10,93616
8524,Michael Brown8524,53,Neurology,5,199309
8525,Jane Smith8525,55,Dermatology,1,141541
8526,Laura Martinez8526,41,General Surgery,21,189808
8527,Sarah Davis8527,46,General Surgery,8,118725
8528,Emily Johnson8528,64,General Surgery,10,92204
8529,Jane Smith8529,52,Orthopedics,6,119182
8530,John Doe8530,57,Cardiology,23,183313
8531,Emily Johnson8531,64,Neurology,36,88166
8532,Emily Johnson8532,58,Cardiology,16,140426
8533,Patricia Taylor8533,39,Orthopedics,10,178676
8534,John Doe8534,53,Cardiology,6,127177
8535,Patricia Taylor8535,50,General Surgery,37,120707
8536,Jane Smith8536,50,Dermatology,8,108021
8537,Laura Martinez8537,62,Orthopedics,31,111155
8538,David Wilson8538,34,Cardiology,28,92341
8539,Michael Brown8539,40,General Surgery,21,188150
8540,James Anderson8540,25,Cardiology,17,88268
8541,Patricia Taylor8541,47,Ophthalmology,37,183282
8542,Emily Johnson8542,51,Orthopedics,23,128722
8543,David Wilson8543,34,Dermatology,26,106335
8544,Patricia Taylor8544,51,Pediatrics,8,190112
8545,Michael Brown8545,44,Dermatology,24,103883
8546,John Doe8546,64,General Surgery,10,95427
8547,John Doe8547,27,General Surgery,22,178305
8548,Laura Martinez8548,61,Neurology,1,120002
8549,Michael Brown8549,30,Neurology,2,102702
8550,Robert Lee8550,39,Dermatology,23,139441
8551,John Doe8551,51,Pediatrics,19,106868
8552,Laura Martinez8552,62,Neurology,16,135880
8553,Patricia Taylor8553,45,Orthopedics,2,188135
8554,Laura Martinez8554,60,Pediatrics,15,183376
8555,Michael Brown8555,27,Pediatrics,25,141087
8556,Robert Lee8556,47,Neurology,4,168655
8557,Robert Lee8557,25,Dermatology,23,124784
8558,Michael Brown8558,34,Ophthalmology,16,127574
8559,David Wilson8559,54,Pediatrics,39,112123
8560,Sarah Davis8560,33,General Surgery,23,194775
8561,David Wilson8561,35,Orthopedics,16,95695
8562,John Doe8562,34,Pediatrics,23,165778
8563,David Wilson8563,45,Cardiology,33,91818
8564,Emily Johnson8564,39,Orthopedics,33,113466
8565,James Anderson8565,49,Dermatology,27,122203
8566,Laura Martinez8566,58,Dermatology,11,119768
8567,Robert Lee8567,64,Dermatology,34,126518
